Name,Info1,Info2,Link,Number,AT
Chamomile,"Common Names:Ã‚Â chamomile, German chamomile ","
There are two types of chamomile: German chamomile and Roman chamomile. This fact sheet focuses on German chamomile.
Chamomile was described in ancient medical writings and was an important medicinal herb in ancient Egypt, Greece, and Rome.
Today, chamomile is promoted for sleeplessness, anxiety, and gastrointestinal conditions such as upset stomach, gas, and diarrhea. It is also used topically for skin conditions and for mouth sores resulting from cancer treatment.

",https://www.nccih.nih.gov/health/chamomile,11,"Sabina Bajracharya, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Chasteberry,"Common Names:Ã‚Â chasteberry, chaste tree, vitex, monk's pepper","
The chasteberry plant, also called chaste tree, is native to the Mediterranean region and Asia.
The name Ã¢Â€ÂœchasteberryÃ¢Â€Â may reflect the traditional belief that the plant promoted chastity. Monks in the Middle Ages reportedly used it to decrease sexual desire. In the past, chasteberry extracts were used to treat a variety of gynecological disorders and skin conditions.
Today, chasteberry is promoted as a dietary supplement for symptoms of premenstrual syndrome, breast pain associated with the menstrual cycle, infertility, and other conditions.

",https://www.nccih.nih.gov/health/chasteberry,12,"Vafa Allahyarova, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Cinnamon,"Common Names:Ã‚Â cinnamon, cinnamon bark, Ceylon cinnamon, cassia cinnamon ","
There are many types of cinnamon. Ceylon cinnamon (Cinnamomum verum), grown primarily in Sri Lanka, is known as Ã¢Â€ÂœtrueÃ¢Â€Â cinnamon. Cassia cinnamon (Cinnamomum aromaticum), grown in southeastern Asia, is the most common type sold in North America.
Used as a spice for thousands of years, cinnamon comes from the bark of various species of cinnamon trees. The leaves, flowers, fruits, and roots of cinnamon trees have also been used in cooking and for medicinal purposes. There are differences in the chemical composition of cinnamon products produced from different species or parts of cinnamon trees.
Cinnamon has a long history of use in traditional medicine in various parts of the world, including China, India, and Persia (Iran).
Today, cinnamon is promoted as a dietary supplement for diabetes or for irritable bowel syndrome or other gastrointestinal problems, as well as otherÃ‚Â conditions. Cassia cinnamon is promoted for topical use (application to the skin) as an insect repellent.

",https://www.nccih.nih.gov/health/cinnamon,13,"formulatehealth, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Cranberry,"Common Names:Ã‚Â cranberry, American cranberry, bearberry ","
Cranberry is an evergreen shrub that grows in wet habitats in the Northeastern and North Central parts of the United States.
Historically, cranberry fruits or leaves were used for bladder, stomach, and liver disorders, as well as diabetes, wounds, and other conditions.
Today, cranberry is most commonly promoted for urinary tract infections (UTIs).

",https://www.nccih.nih.gov/health/cranberry,14,"Keith Weller, USDA-ARS, Public domain, via Wikimedia Commons"
Dandelion ,"Common Names:Ã‚Â dandelion, lionÃ¢Â€Â™s tooth, blowball","
Dandelion is native to Europe but found throughout temperate regions in the Northern Hemisphere. The leaves, flowers, and root of the plant have traditionally been used in Mexican and other North American medicine.
Today, dandelion is promoted as a Ã¢Â€Âœtonic,Ã¢Â€Â as a diuretic, and for a variety of conditions, including infections and digestive symptoms. As a food, dandelion is used as a salad green and in soups, wine, and teas. The roasted root is used as a coffee substitute.

",https://www.nccih.nih.gov/health/dandelion,15,"Markus Bernet, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Echinacea,"Common Names:Ã‚Â echinacea, purple coneflower, coneflower, American coneflower","
There are nine known species of echinacea, all of which are native to North America. They were used by Native Americans of the Great Plains region as traditional medicines.
Echinacea is promoted as a dietary supplement for the common cold and other infections, based on the idea that it might stimulate the immune system to more effectively fight infection. Echinacea preparations have been promoted for topical use (application to the skin) for wounds and skin problems.
Several species of echinacea, most commonly Echinacea purpurea or Echinacea angustifolia, may be included in dietary supplements.

",https://www.nccih.nih.gov/health/echinacea,16,"Diego Delso, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Elderberry,"Common Names:Ã‚Â European elder, black elder, elderberry, elder flower, sambucus","
Elderberry is the dark purple berry of the European or black elder tree, which grows in the warmer parts of Europe, North America, Asia, and Northern Africa.
Elderberry has been used in folk medicine to treat colds and flu.
Elderberry is promoted as a dietary supplement for colds, flu, and other conditions. It has also been promoted for COVID-19 (the disease caused by the new coronavirus), but there is no good evidence to support its use.

",https://www.nccih.nih.gov/health/elderberry,17,"Veganlover1993, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Ephedra,"Common Names:Ã‚Â ephedra, Chinese ephedra, ma huang ","
Ephedra is a low evergreen shrub with small scaly leaves. It has a long history of medicinal use in China and India to treat colds, fever, headaches, coughing, wheezing, and other conditions.
The U.S. Food and Drug Administration (FDA) banned the sale of dietary supplements containing ephedrine alkaloids (stimulant compounds found in Ephedra sinica and some other plants) in the United States in 2004. Prior to the ban, ephedra was an ingredient in some dietary supplements promoted for weight loss, increased energy, and enhanced athleticÃ‚Â performance.

",https://www.nccih.nih.gov/health/ephedra,18,"Le.Loup.Gris, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
European Mistletoe,Common Names:Ã‚Â European mistletoe,"
European mistletoe is a parasitic plant that grows on several types of common trees such as apple, oak, pine, and elm. European mistletoe is different from American mistletoe, the type of mistletoe that grows in the United States and is used as a holiday decoration.
European mistletoe has been used for centuries in traditional medicine for a variety of conditions, including seizures, headaches, and menopause symptoms. Today, European mistletoe is promoted as a treatment forÃ‚Â cancer.
In Europe, European mistletoe extracts that are given by injection are sold as prescription drugs. European mistletoe may also be taken orally (by mouth) as a dietary supplement. The U.S. Food and Drug Administration has not approved the use of European mistletoe as a treatment for cancer or any other medical condition.

",https://www.nccih.nih.gov/health/european-mistletoe,19,"congerdesign, CC0, via Wikimedia Commons"
Evening Primrose Oil ,"Common Names:Ã‚Â evening primrose oil, EPO ","
Evening primrose is a plant native to North and South America that also grows throughout Europe and parts of Asia. It has yellow flowers that open at sunset and close during the day. The oil from evening primrose seeds contains omega-6 fatty acids, including gamma-linolenic acid (GLA).
Native Americans made poultices from the evening primrose plant for bruises and wounds and used its stem and leaf juices as topical remedies for skin inflammations. The leaves were taken orally for gastrointestinal complaints and sore throats. In the 17th century, evening primrose oil became a popular folk remedy in Europe, where it was known as Ã¢Â€ÂœKingÃ¢Â€Â™s cure-all.Ã¢Â€Â
Today, evening primrose oil dietary supplements are promoted for atopic dermatitis (a type of eczema), rheumatoid arthritis, premenstrual syndrome (PMS), breast pain, menopause symptoms, and other conditions. Evening primrose oil may also be included in products that are applied to the skin.

",https://www.nccih.nih.gov/health/evening-primrose-oil,20,"Charles de Mille-Isles from Mille-Isles, Canada, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Fenugreek ,Common Names:Ã‚Â fenugreek ,"
Fenugreek is a clover-like herb native to the Mediterranean region, southern Europe, and western Asia. Its seeds, which smell and taste like maple syrup, have been used in cooking and as medicine. Fenugreek is used as an ingredient in spice blends and a flavoring agent in foods, beverages, and tobacco. Fenugreek extracts are also used in soaps and cosmetics.
In North Africa, Asia, and southern Europe, fenugreek was traditionally used for diabetes and to increase milk supply in women who were breastfeeding.
Today, fenugreek is promoted as a dietary supplement for diabetes, menstrual cramps, and other conditions and to stimulate milk production during breastfeeding.

",https://www.nccih.nih.gov/health/fenugreek,21,"Subhashish Panigrahi, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Feverfew,"Common Names:Ã‚Â feverfew, bachelorÃ¢Â€Â™s buttons, featherfew ","
Feverfew is native to parts of western Asia and the Balkans, but it now grows throughout the world.
Feverfew is promoted for fevers, headaches, and arthritis; topically (applied to the skin), itÃ¢Â€Â™s promoted for toothache and as an antiseptic and insecticide. Feverfew has been called Ã¢Â€Âœmedieval aspirinÃ¢Â€Â or Ã¢Â€Âœaspirin of the 18th century.Ã¢Â€Â

",https://www.nccih.nih.gov/health/feverfew,22,"Zeynel Cebeci, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Flaxseed and Flaxseed Oil ,"Common Names:Ã‚Â flaxseed, flax, linseed ","
Flaxseed has had a variety of health and industrial uses. Hippocrates wrote about flaxseed being a laxative; North American pioneers made flaxseed dressings for cuts and burns. Fiber from the plant is made into linen, and oil from its seeds is used in paints, among other products.
Today, flaxseed and flaxseed oil are promoted for a variety of disorders that include stomach and intestinal complaints, such as constipation, diarrhea, and irritable bowel syndrome (IBS). Flaxseed and flaxseed oil are also promoted for heart and blood vessel disorders (for example, high levels of blood fats such as cholesterol and triglycerides), as well as diabetes and other conditions.

",https://www.nccih.nih.gov/health/flaxseed-and-flaxseed-oil,23,"Gaurav_Dhwaj_Khadka, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Garcinia Cambogia,"Common Names:Ã‚Â garcinia cambogia, garcinia, Malabar tamarind, brindle berry","
Garcinia cambogia is native to India and Southeast Asia. The fruit pulp and rind have long been used in Asian countries as a condiment and food preservative.
The rind contains a chemical called hydroxycitric acid (HCA), which has been studied for its effect on appetite. Garcinia cambogia supplements with HCA are marketed for weight loss.
Garcinia cambogia has also been promoted for relief of joint pain and digestive symptoms and to improve athletic performance.

",https://www.nccih.nih.gov/health/garcinia-cambogia,24,"Franz Eugen Köhler, Köhler's Medizinal-Pflanzen, Public domain, via Wikimedia Commons"
Garlic,Common Names:Ã‚Â garlic,"
Garlic is the edible bulb from a plant in the lily family. It was traditionally used for health purposes by people in many parts of the world, including the Egyptians, Greeks, Romans, Chinese, and Japanese.
Currently, garlic is most commonly promoted as a dietary supplement for conditions related to the heart and blood vessels, including high blood cholesterol and high blood pressure.
Fresh garlic, garlic powder, and garlic oil are used to flavor foods. Garlic may be used topically (applied to the skin).

",https://www.nccih.nih.gov/health/garlic,25,"Jonathunder, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Ginger,Common Names:Ã‚Â ginger ,"
Native to parts of Asia, such as China, Japan, and India, ginger has a leafy stem and yellowish-green flowers. The spice comes from the rhizome (underground stem) of the plant.Ã‚Â 
Ginger has been used for medicinal purposes in China for more than 2,500 years, and it has had a prominent role in Chinese, Indian, and Japanese medicine since the 1500s.Ã‚Â 

",https://www.nccih.nih.gov/health/ginger,26,"Edithobayaa1, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Ginkgo,"Common Names:Ã‚Â ginkgo, Ginkgo biloba, fossil tree, maidenhair tree, Japanese silver apricot, baiguo, yinhsing","
Ginkgo, one of the oldest living tree species in the world, has a long history in traditional Chinese medicine. Members of the royal court were given ginkgo nuts for senility. Other historical uses for ginkgo were for asthma, bronchitis, and kidney and bladderÃ‚Â disorders.
Today, the extract from ginkgo leaves is promoted as a dietary supplement for many conditions, including anxiety, allergies, dementia, eye problems, peripheral artery disease (when buildup of plaque narrows the blood vessels that carry blood to the head, organs, and limbs), tinnitus, and other healthÃ‚Â problems.

",https://www.nccih.nih.gov/health/ginkgo,27,"Photo (c)2007 Derek Ramsey (Ram-Man), GFDL 1.2 <http://www.gnu.org/licenses/old-licenses/fdl-1.2.html>, via Wikimedia Commons"
Goldenseal ,"Common Names:Ã‚Â goldenseal, yellow root","
Goldenseal is a plant native to North America. Overharvesting and loss of habitat have decreased the availability of wild goldenseal, but the plant is now grown commercially in the United States, especially in the Blue RidgeÃ‚Â Mountains.
Historically, Native Americans used goldenseal for skin disorders, ulcers, fevers, and other conditions. European settlers adopted it as a medicinal plant, using it for a variety ofÃ‚Â conditions.
Currently, goldenseal is promoted as a dietary supplement for colds and other respiratory tract infections, allergic rhinitis (hay fever), ulcers, and digestive upsets such as diarrhea and constipation. It is also used as a mouthwash for sore gums and as an eyewash for eye inflammation, and it is applied to the skin for rashes and other skinÃ‚Â problems.

",https://www.nccih.nih.gov/health/goldenseal,28,"Mustangracer05, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Grape Seed Extract,"Common Names:Ã‚Â grape seed extract, grape seed ","
Grape seed extract, which is made from the seeds of wine grapes, is promoted as a dietary supplement for various conditions, including venous insufficiency (when veins have problems sending blood from the legs back to the heart), promoting wound healing, and reducingÃ‚Â inflammation.
Grape seed extract contains proanthocyanidins, which have been studied for a variety of healthÃ‚Â conditions.

",https://www.nccih.nih.gov/health/grape-seed-extract,29,"Rude, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Green Tea,Common Names:Ã‚Â green tea ,"
Green, black, and oolong teas all come from the same plant,Ã‚Â Camellia sinensis, but are prepared using different methods. To produce green tea, leaves from the plant are steamed, pan fried, and dried.
Tea has been used for medicinal purposes in China and Japan for thousands ofÃ‚Â years.
Green tea as a beverage or dietary supplement is promoted for improving mental alertness, relieving digestive symptoms and headaches, and promoting weight loss. Green tea and its components, including epigallocatechin-3-gallate (EGCG), have been studied for their possible protective effects against heart disease andÃ‚Â cancer.
The U.S. Food and Drug Administration (FDA) has approved a topical ointment, sinecatechins (brand name Veregen), which includes extracted components of green tea leaves and is used for the treatment of genital warts.

",https://www.nccih.nih.gov/health/green-tea,30,"강응규, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Hawthorn,"Common Names:Ã‚Â hawthorn, English hawthorn, oneseed hawthorn, harthorne, haw, hawthorne ","
Hawthorn is a flowering shrub or tree of the rose family. It grows in temperate regions throughout theÃ‚Â world.
Historically, hawthorn has been used for heart disease as well as for digestive and kidney problems. It is now promoted for these uses as well as forÃ‚Â anxiety, high or low blood pressure, and other conditions.

",https://www.nccih.nih.gov/health/hawthorn,31,"Soupvector, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Hoodia ,"Common Names:Ã‚Â hoodia, Kalahari cactus, Xhoba","
Hoodia is a cactus-like plant that grows in AfricaÃ¢Â€Â™s Kalahari Desert. Historically, the San Bushmen are believed to have used hoodia to suppress appetite.
Today, hoodia dietary supplements are promoted as appetite suppressants for weightÃ‚Â loss.

",https://www.nccih.nih.gov/health/hoodia,32,"Mr.Rosewater, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Horse Chestnut,"Common Names:Ã‚Â horse chestnut, buckeye, Spanish chestnut ","
Horse chestnut is a tree native to parts of southeastern Europe. Its fruits contain seeds that resemble sweet chestnuts but have a bitter taste.
Historically, horse chestnut seed extract was used for joint pain, bladder and gastrointestinal problems, fever, leg cramps, and other conditions.
Today, horse chestnut seed extract is promoted for chronic venous insufficiency (CVI; poor blood flow in the veins of the legs, which may lead to leg pain, swelling, itchiness, and other symptoms), irritable bowel syndrome, male infertility, and other conditions.

",https://www.nccih.nih.gov/health/horse-chestnut,33,© Hans Hillewaert
Kava ,"Common Names:Ã‚Â kava, kava kava, ava pepper, ava root, kawa ","
Kava is native to the islands of the western Pacific and is a member of the pepper family.
Pacific islanders have used kava for thousands of years as a medicine and for ritual purposes.
Today, kava is promoted as a dietary supplement for anxiety, insomnia, and other conditions.

",https://www.nccih.nih.gov/health/kava,34,"Littleblackpistol at English Wikipedia, Public domain, via Wikimedia Commons"
Lavender ,"Common Names:Ã‚Â lavender, English lavender, common lavender, French lavender","
Lavender is native to countries in the Mediterranean region, including France, Spain, and Italy.
The name lavender comes from the Latin verb Ã¢Â€Âœlavare,Ã¢Â€Â meaning Ã¢Â€Âœto wash.Ã¢Â€Â In ancient Rome, lavender was used as a bath additive.
Lavender is used to flavor foods and beverages and as a fragrance ingredient in soaps and cosmetics. It is promoted as a dietary supplement for anxiety, depression, digestive symptoms, and other conditions. It is also promoted for topical use (application to the skin) and use in aromatherapy.

",https://www.nccih.nih.gov/health/lavender,35,"Pro QueeNia, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Licorice Root,"Common Names:Ã‚Â licorice root, licorice, liquorice, sweet root, gan cao, gan zao, Chinese licorice","
Licorice root is cultivated throughout Europe, Asia, and the Middle East. It is used as a flavoring in candy, other foods, beverages, and tobacco products.
Many Ã¢Â€ÂœlicoriceÃ¢Â€Â products sold in the United States do not contain actual licorice. Anise oil, which smells and tastes like licorice, is often used instead.
Licorice root has a long history of use, going back to ancient Assyrian, Egyptian, Chinese, and Indian cultures. It was used traditionally for treating a variety of conditions, including lung, liver, circulatory, and kidney diseases.
Today, licorice root is promoted as a dietary supplement for conditions such as digestive problems, menopausal symptoms, cough, and bacterial and viral infections. Licorice gargles or lozenges have been used to try to prevent or reduce the sore throat that sometimes occurs after surgery. Licorice is also an ingredient in some products for topical use (application to the skin).

",https://www.nccih.nih.gov/health/licorice-root,36,"National Archives and Records Administration, Public domain, via Wikimedia Commons"
Milk Thistle,"Common Names:Ã‚Â milk thistle, Mary thistle, holy thistle","
Milk thistle is native to Europe and was introduced into North America by early colonists. Milk thistle is found throughout the eastern United States, California, South America, Africa, Australia, and Asia.
The terms Ã¢Â€Âœmilk thistleÃ¢Â€Â and Ã¢Â€ÂœsilymarinÃ¢Â€Â are often used interchangeably.
Historically, people have used milk thistle for liver disorders and gallbladder problems.
Milk thistle is promoted as a dietary supplement for hepatitis, cirrhosis, jaundice, diabetes, indigestion, and other conditions.

",https://www.nccih.nih.gov/health/milk-thistle,37,"fir0002  flagstaffotos [at] gmail.com		Canon 20D + Sigma 150mm f/2.8, GFDL 1.2 <http://www.gnu.org/licenses/old-licenses/fdl-1.2.html>, via Wikimedia Commons"
Mugwort,"Common Names:Ã‚Â mugwort, common wormwood, wild wormwood, felon herb, chrysanthemum weed, St. JohnÃ¢Â€Â™s plant, sailorÃ¢Â€Â™s tobacco ","
Mugwort is a perennial plant that is native to Europe and parts of Asia and Africa. It now grows in many parts of the world, including North America.
Historically, mugwort has been used in traditional systems of medicine in different parts of the world.
Today, mugwort taken orally (by mouth) is promoted for digestive problems, irregular menstruation, and high blood pressure. It is also promoted as a sedative, laxative, and liver tonic.
Mugwort lotion applied topically (to the skin) is promoted for itching caused by hypertrophic scars (visible, raised scars that can sometimes cause restricted movement of muscles, joints, and tendons).

",https://www.nccih.nih.gov/health/mugwort,38,"Melsj, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Noni,"Common Names:Ã‚Â noni, morinda, Indian mulberry, hog apple, canarywood ","
Noni is a small evergreen tree found in the Pacific Islands, Southeast Asia, Australia, and India. It often grows among lava flows.
Historically, noni has been used for thousands of years in Polynesia as a food source and for medicinal uses (usually applied to the skin).
Today, noni is promoted as a dietary supplement to prevent cancer, prevent infections, treat high blood pressure, and help with other conditions.

",https://www.nccih.nih.gov/health/noni,39,"Amuzujoe, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
