Name,Info1,Link,Number,AT,,,,,,,,,,
Aquatic therapy,"Aquatic therapy refers to treatments and exercises performed in water for relaxation, fitness, physical rehabilitation, and other therapeutic benefit.  Typically a qualified aquatic therapist gives constant attendance to a person receiving treatment in a heated therapy pool.  Aquatic therapy techniques include Ai Chi, Aqua Running, Bad Ragaz Ring Method, Burdenko Method, Halliwick, Watsu, and other aquatic bodywork forms. Therapeutic applications include neurological disorders, spine pain, musculoskeletal pain, postoperative orthopedic rehabilitation, pediatric disabilities, and pressure ulcers.
",https://en.wikipedia.org/wiki/Aquatherapy,11,"Mstizza, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Aromatherapy,"Aromatherapy is  a pseudoscience based on the usage of aromatic materials, including essential oils, and other aroma compounds, with claims for improving psychological or physical well-being. It is offered as a complementary therapy or as a form of alternative medicine, the first meaning alongside standard treatments, the second instead of conventional, evidence-based treatments.
",https://en.wikipedia.org/wiki/Aromatherapy,12,"Institute of Manuscripts of Azerbaijan, Public domain, via Wikimedia Commons",,,,,,,,,,
Art therapy,"Art therapy (not to be confused with arts therapy, which includes other creative therapies such as drama therapy and music therapy) is a distinct discipline that incorporates creative methods of expression through visual art media.  Art therapy, as a creative arts therapy profession, originated in the fields of art and psychotherapy and may vary in definition.
",https://en.wikipedia.org/wiki/Art_Therapy,13,"Photo: VOA - A. Fortier, Public domain, via Wikimedia Commons",,,,,,,,,,
Asahi Health,"Asahi (or Asahi Health) is a Finnish health exercise based on the eastern traditions of T'ai chi ch'uan, qigong, yiquan and yoga, with a western scientific viewpoint. Asahi is designed to suit everybody, regardless of physical condition or age. 
","This article contains content that is written like an advertisement. Please help improve it by removing promotional content and inappropriate external links, and by adding encyclopedic content written from a neutral point of view. (March 2011) (Learn how and when to remove this template message)",14,"Kuviin, Public domain, via Wikimedia Commons",,,,,,,,,,
Astrology,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Astrology,15,"Mark Morgan from Trinidad, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Attachment therapy,"Attachment therapy (also called ""the Evergreen model"", ""holding time"", ""rage-reduction"", ""compression therapy"", ""rebirthing"", ""corrective attachment therapy"" and Coercive Restraint Therapy) is a pseudoscientific child mental health intervention intended to treat attachment disorders. It is found primarily in the United States, and much of it is centered in about a dozen clinics in Evergreen, Colorado, where Foster Cline, one of the founders, established his clinic in the 1970s.
",https://en.wikipedia.org/wiki/Attachment_therapy,16,"U.S. Navy photo by Mass Communication Specialist 1st Class Bruce Cummins, Public domain, via Wikimedia Commons",,,,,,,,,,
Auriculotherapy,"Auriculotherapy (also auricular therapy, ear acupuncture, and auriculoacupuncture) is a form of alternative medicine based on the idea that the ear is a micro system, which reflects the entire body, represented on the auricle, the outer portion of the ear. Conditions affecting the physical, mental or emotional health of the patient are assumed to be treatable by stimulation of the surface of the ear exclusively. Similar mappings are used in many areas of the body, including the practices of reflexology and iridology. These mappings are not based on or supported by any medical or scientific evidence, and are therefore considered to be pseudoscience.
",https://en.wikipedia.org/wiki/Auriculotherapy,17,"CostaPPPR, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Autogenic training,"Autogenic training is a desensitization-relaxation technique developed by the German psychiatrist Johannes Heinrich Schultz by which a psychophysiologically determined relaxation response is obtained. The technique was first published in 1932. Studying the self-reports of people immersed in a hypnotic state, J.H. Schultz noted that physiological changes are accompanied by certain feelings. AbbÃ© Faria and Ã‰mile CouÃ© are the forerunners of Schultz. The technique involves repetitions of a set of visualisations that induce a state of relaxation and is based on passive concentration of bodily perceptions (e.g., heaviness and warmth of arms, legs), which are facilitated by self-suggestions. The technique is used to alleviate many stress-induced psychosomatic disorders.
",https://en.wikipedia.org/wiki/Autogenic_training,18,"Foto  © H.-P.Haack, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",,,,,,,,,,
Autosuggestion,"Autosuggestion is a psychological technique related to the placebo effect, developed by apothecary Ã‰mile CouÃ© at the beginning of the 20th century. It is a form of self-induced suggestion in which individuals guide their own thoughts, feelings, or behavior. The technique is often used in self-hypnosis.
",https://en.wikipedia.org/wiki/Autosuggestion,19,"Hugo Erfurth, Public domain, via Wikimedia Commons",,,,,,,,,,
Ayurveda,"Ayurveda (/ËŒÉ‘ËjÊŠÉ™rËˆveÉªdÉ™, -ËˆviË-/) is an alternative medicine system with historical roots in the Indian subcontinent. The theory and practice of Ayurveda is pseudoscientific. The Indian Medical Association (IMA) characterises the practice of modern medicine by Ayurvedic practitioners as quackery. Ayurveda is heavily practiced in India and Nepal, where around 80% of the population report using it.
",https://en.wikipedia.org/wiki/Ayurveda,20,"Translated into Bengali by User:Sumita Roy Dutta, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Bach flower remedies,"Bach flower remedies (BFRs) are solutions of brandy and waterâ€”the water containing extreme dilutions of flower material developed by Edward Bach, an English homeopath, in the 1930s. Bach claimed that the dew found on flower petals retains the supposed healing properties of that plant. Systematic reviews of clinical trials of Bach flower solutions have found no efficacy beyond a placebo effect.
",https://en.wikipedia.org/wiki/Bach_flower_remedies,21,"me, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Balneotherapy,"Balneotherapy (Latin: balneum ""bath"") is a method of treating diseases by bathing, a traditional medicine technique usually practiced at spas. While it is considered distinct from hydrotherapy, there are some overlaps in practice and in underlying principles. Balneotherapy may involve hot or cold water, massage through moving water, relaxation, or stimulation. Many mineral waters at spas are rich in particular minerals such as silica, sulfur, selenium, and radium. Medicinal clays are also widely used, a practice known as 'fangotherapy'.
",https://en.wikipedia.org/wiki/Balneotherapy,22,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Bates method,"The Bates method is an ineffective and potentially dangerous alternative therapy aimed at improving eyesight. Eye-care physician William Horatio Bates (1860â€“1931) attributed nearly all sight problems to habitual ""strain"" of the eyes, and thus felt that relieving such ""strain"" would cure the problems.
",https://en.wikipedia.org/wiki/Bates_method,23,"American Medical Association, Public domain, via Wikimedia Commons",,,,,,,,,,
Bibliotherapy,"Bibliotherapy (also referred to as  ""book therapy"" poetry therapy or therapeutic storytelling) is a creative arts therapies modality that involves storytelling or the reading of specific texts with the purpose of healing. It uses an individual's relationship to the content of books and poetry and other written words as therapy. Bibliotherapy is often combined with writing therapy. It has been shown to be effective in the treatment of depression. A 3 year follow up study has suggested that the results are long-lasting.
","This article needs attention from an expert in Psychology. The specific problem is: Bibliotherapy is a form of psychotherapy. Libraries in hospitals for sick patients, and ""therapeutic storytelling"" are not bibliotherapy. WikiProject Psychology may be able to help recruit an expert. (May 2019)",24,"Shelley Rodrigo from Mesa, AZ, United States, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Energy medicine,"Energy medicine is a branch of alternative medicine based on a pseudo-scientific belief that healers can channel healing energy into a patient and effect positive results. Practitioners use a number of names including various synonyms for medicine (e.,g., energy healing) and sometimes use the word vibrational instead of or in concert with energy. In no case is any empirically measurable energy involved: the term refers instead to so-called subtle energy.
",https://en.wikipedia.org/wiki/Bioresonance_therapy,25,"Boerhaave, Herman, Public domain, via Wikimedia Commons",,,,,,,,,,
Blood irradiation therapy,"Blood irradiation therapy is an alternative medical procedure in which the blood is exposed to low level light (often laser light) for therapeutic reasons. The practice was originally developed in the United States, but most recent research on it has been conducted in Germany (by UV lamps) and in Russia (in all variants). Low-level laser therapy has been tested for a wide range of conditions, but rigorous double-blinded studies have not yet been performed. Furthermore, it has been claimed that ultraviolet irradiation of blood kills bacteria by DNA damage and also activation of the immune system. Blood irradiation therapy is highly controversial, and has fallen from mainstream use since its heyday in the 1940s and 1950s.
",https://en.wikipedia.org/wiki/Blood_irradiation_therapies,26,"Ziganshin O.R., Gizinger O.A., Moskvin S.V., Letyayeva O.I., Shemetova M.A., Frantseva O.V., CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Bodywork (alternative medicine),"In alternative medicine, bodywork is any therapeutic or personal development technique that involves working with the human body in a form involving manipulative therapy, breath work, or energy medicine. Bodywork techniques also aim to assess or improve posture, promote awareness of the ""bodymind connection"" which is an approach that sees the human body and mind as a single integrated unit, or to manipulate the electromagnetic field alleged to surround the human body and affect health.
","The examples and perspective in this article may not represent a worldwide view of the subject. You may improve this article, discuss the issue on the talk page, or create a new article, as appropriate. (August 2016) (Learn how and when to remove this template message)",27,"Photo by <a href=""https://unsplash.com/@elijahdhiett?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Elijah Hiett</a> on <a href=""https://unsplash.com/s/photos/breathing?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  ",,,,,,,,,,
Chelation therapy,"Chelation therapy is a medical procedure that involves the administration of chelating agents to remove heavy metals from the body. Chelation therapy has a long history of use in clinical toxicology and remains in use for some very specific medical treatments, although it is administered under very careful medical supervision due to various inherent risks.
",https://en.wikipedia.org/wiki/Chelation_therapy,28,"Herbert L. Fred, MD and Hendrik A. van Dijk, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Chinese food therapy,"Chinese food therapy (simplified Chinese: é£Ÿç–—; traditional Chinese: é£Ÿç™‚; pinyin: shÃ­liÃ¡o; lit. 'food therapy', also called nutrition therapy and dietary therapy) is a mode of dieting rooted in Chinese beliefs concerning the effects of food on the human organism, and centered on concepts such as eating in moderation. Its basic precepts are a mix of Taoist Wuxing theory and concepts drawn from the modern representation of traditional Chinese medicine.
",https://en.wikipedia.org/wiki/Chinese_food_therapy,29,"emi moriya from Tokyo, Japan, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons",,,,,,,,,,
Chinese herbology,"Chinese herbology (simplified Chinese: ä¸­è¯å­¦; traditional Chinese: ä¸­è—¥å­¸; pinyin: zhÅngyÃ o xuÃ©) is the theory of traditional Chinese herbal therapy, which accounts for the majority of treatments in traditional Chinese medicine (TCM). A Nature editorial described TCM as ""fraught with pseudoscience"", and said that the most obvious reason why it has not delivered many cures is that the majority of its treatments have no logical mechanism of action.
",https://en.wikipedia.org/wiki/Chinese_herbology,30,"Judgefloro, CC0, via Wikimedia Commons",,,,,,,,,,
Chinese martial arts,"Chinese martial arts, often named under the umbrella terms kung fu (/ËˆkÊŠÅ‹ ËˆfuË/; Chinese: åŠŸå¤«; pinyin: gÅngfu; Cantonese Yale: gÅ«ng fÅ«), kuoshu (åœ‹è¡“; guÃ³shÃ¹) or wushu (æ­¦è¡“; wÇ”shÃ¹), are several hundred fighting styles that have developed over the centuries in China. These fighting styles are often classified according to common traits, identified as ""families"" of martial arts. Examples of such traits include Shaolinquan  (å°‘æž—æ‹³) physical exercises involving Five Animals (äº”å½¢) mimicry or training methods inspired by Old Chinese philosophies, religions and legends. Styles that focus on qi manipulation are called internal (å†…å®¶æ‹³; nÃ¨ijiÄquÃ¡n), while others that concentrate on improving muscle and cardiovascular fitness are called external (å¤–å®¶æ‹³; wÃ ijiÄquÃ¡n). Geographical association, as in northern (åŒ—æ‹³; bÄ›iquÃ¡n) and southern (å—æ‹³; nÃ¡nquÃ¡n), is another popular classification method.
",wÇ”shÃ¹,31,"The original uploader was Hk2007 at Chinese Wikipedia., CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Traditional Chinese medicine,"Traditional Chinese medicine (TCM) is a branch of traditional medicine in China. It has been described as ""fraught with pseudoscience"", and the majority of its treatments as having no logical mechanism of action.
",ZhÅngyÄ«,32,"Okkisafire, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Pulse diagnosis,"Pulse diagnosis is a diagnostic technique used in Ayurveda, traditional Chinese medicine, traditional Mongolian medicine, Siddha medicine, traditional Tibetan medicine, and Unani. Although it once showed many positive results, it no longer has scientific legitimacy, but research continues and is ill-defined in some derived text, and is subjective.
",This section needs expansion. You can help by adding to it. (December 2017),33,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Chakra,"Reportedly haunted locations:
","This article contains Indic text. Without proper rendering support, you may see question marks or boxes, misplaced vowels or missing conjuncts instead of Indic text.",34,"Atarax42, CC0, via Wikimedia Commons",,,,,,,,,,
Chiropractic,"Chiropractic is a pseudoscientific alternative medicine that is concerned with the diagnosis and treatment of mechanical disorders of the musculoskeletal system, especially the spine. Chiropractors, especially those in the field's early history, have proposed that such disorders affect general health via the nervous system. The main chiropractic treatment technique involves manual therapy, especially manipulation of the spine, other joints, and soft tissues, but may also include exercises and health and lifestyle counseling. Chiropractors are not physicians or medical doctors.
",https://en.wikipedia.org/wiki/Chiropractic,35,"Joy Loban, Public domain, via Wikimedia Commons",,,,,,,,,,
Chromotherapy,"Chromotherapy, sometimes called color therapy, colorology or cromatherapy, is an alternative medicine method that is considered pseudoscience. Chromotherapists claim to be able to use light in the form of color to balance ""energy"" lacking from a person's body, whether it be on physical, emotional, spiritual, or mental levels.
",https://en.wikipedia.org/wiki/Chromotherapy,36,"Puck04, CC0, via Wikimedia Commons",,,,,,,,,,
Colorpuncture,"Colorpuncture, cromopuncture, or color light acupuncture, is a pseudoscientific alternative medicine practice based on ""mystical or supernatural"" beliefs which asserts that colored lights can be used to stimulate acupuncture points to promote healing and better health. It is a form of chromotherapy or color therapy. There is no known anatomical or histological basis for the existence of acupuncture points or meridians, and there is no scientific support for the efficacy of colorpuncture.
",https://en.wikipedia.org/wiki/Colorpuncture,37,"Cecova TV, CC BY-SA 2.5 <https://creativecommons.org/licenses/by-sa/2.5>, via Wikimedia Commons",,,,,,,,,,
Cinema therapy,"Cinema therapy or movie therapy is a form of expressive therapy - like art, music and dance therapy - for medical and mental health issues. It is also used as a form of self-help. Cinema therapy was created and popularized by Dr. Gary Solomon, the first to write on using movies as therapy. The movement started to catch up again in 2019 with the featured documentary ""Calypsonians"" by director Anghelo Taylor, unlike the creation of Dr. Gary Solomon, Anghelo Taylor wrote the CinemaTherapy Manifesto, that starts with one simple principle ""In order for cinema therapy truly exist the filmmaker must have an internal search, question or problem to solve inside himself but that relates with the rest of humanity or with specific community. Once the filmmaker and his crew engage in the process of filmmaking, they start healing by the revelation and situations that happen along the process of making a film. In the end, the result of that process will be a medicine for all the viewers as human beings. But everything starts with the deep intention that the filmmaker has when making the film""
",https://en.wikipedia.org/wiki/Cinema_therapy,38,"Nefirious, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons","
","
",,,,,,,,"
"
Gua sha,"Gua sha (Chinese: åˆ®ç—§) or kerokan, is part of traditional Chinese medicine (TCM) in which a tool is used to scrape people's skin in order to produce light petechiae. Practitioners believe that gua sha releases unhealthy bodily matter from blood stasis within sore, tired, stiff or injured muscle areas to stimulate new oxygenated blood flow to the areas, thus promoting metabolic cell repair, regeneration, healing and recovery.
",guÄ shÄ,39,"Jugana at the German-language Wikipedia, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Medical uses of silver,"The medical uses of silver include its use in wound dressings, creams, and as an antibiotic coating on medical devices. Wound dressings containing silver sulfadiazine or silver nanomaterials may be used to treat external infections. The limited evidence available shows that silver coatings on endotracheal breathing tubes may reduce the incidence of ventilator-associated pneumonia. There is tentative evidence that using silver-alloy indwelling catheters for short-term catheterizing will reduce the risk of catheter-acquired urinary tract infections.
",https://en.wikipedia.org/wiki/Colloidal_silver,40,"Wesalius, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Colon cleansing,"Colon cleansing, also known as colon therapy, or colon hydrotherapy, or a colonic, or colonic irrigation encompasses a number of alternative medical therapies claimed to remove unspecified toxins from the colon and intestinal tract by removing supposed accumulations of feces. Colon cleansing in this context should not be confused with an enema which introduces fluid into the colon, often under mainstream medical supervision, for a limited number of purposes including severe constipation and medical imaging.
",https://en.wikipedia.org/wiki/Colon_cleansing,41,"wikiHow --- No specific person's name has been provided., CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Enema,"An enema, also known as a clyster, is an injection of fluid into the lower bowel by way of the rectum. Also, the word enema can refer to the liquid so injected, as well as to a device for administering such an injection.
",https://en.wikipedia.org/wiki/Enema#In_alternative_medicine,42,"BarbariSka88, CC0, via Wikimedia Commons",,,,,,,,,,
Craniosacral therapy,"Craniosacral therapy (CST)  is a form of bodywork or alternative therapy that uses gentle touch to palpate the synarthrodial joints of the cranium. It is based on fundamental misconceptions about the physiology of the human skull and is promoted as a cure-all for a variety of health conditions.
",https://en.wikipedia.org/wiki/Craniosacral_therapy,43,"Internet Archive Book Images, No restrictions, via Wikimedia Commons",,,,,,,,,,
Creative visualization,"Creative visualization is the cognitive process of purposefully generating visual mental imagery, with eyes open or closed, simulating or recreating visual perception, in order to maintain, inspect, and transform those images, consequently modifying their associated emotions or feelings, with intent to experience a subsequent beneficial physiological, psychological, or social effect, such as expediting the healing of wounds to the body, minimizing physical pain, alleviating psychological pain including anxiety, sadness, and low mood, improving self-esteem or self-confidence, and enhancing the capacity to cope when interacting with others.
",https://en.wikipedia.org/wiki/Creative_visualization,44,"Kwan-Liu Ma, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Crystal healing,"Crystal healing is a pseudoscientific alternative-medicine practice that uses semiprecious stones and crystals such as quartz, agate, amethyst or opals. Adherents of the practice claim that these have healing powers, but there is no scientific basis for this claim. Practitioners of crystal healing believe they can boost low energy, prevent bad energy, release blocked energy, and transform a body's aura.
",https://en.wikipedia.org/wiki/Crystal_healing,45,"Maatpublishing, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Cupping therapy,"Cupping therapy is a form of alternative medicine in which a local suction is created on the skin with the application of heated cups. Its practice mainly occurs in Asia but also in Eastern Europe, the Middle East, and Latin America. Cupping has been characterized as a  pseudoscience and its practice as quackery.
",https://en.wikipedia.org/wiki/Fire_cupping,46,"Alanna Ralph from Philadelphia, PA, USA, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Dance therapy,"Dance/movement therapy (DMT) in USA/ Australia or dance movement psychotherapy (DMP) in the UK is the psychotherapeutic use of movement and dance to support intellectual, emotional, and motor functions of the body. As a modality of the creative arts therapies, DMT looks at the correlation between movement and emotion.
",https://en.wikipedia.org/wiki/Dance_therapy,47,"Veronidae, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Detoxification (alternative medicine),"Detoxification (often shortened to detox and sometimes called body cleansing) is a type of alternative-medicine treatment which aims to rid the body of unspecified ""toxins""Â â€“ substances that proponents claim have accumulated in the body and have undesirable short-term or long-term effects on individual health. Activities commonly associated with detoxification include dieting, fasting, consuming exclusively or avoiding specific foods (such as fats, carbohydrates, fruits, vegetables, juices, herbs, or water), colon cleansing, chelation therapy, and the removal of dental fillings containing amalgam.
",https://en.wikipedia.org/wiki/Detoxification_(alternative_medicine),48,"Felipe2021, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Dietary supplement,"A dietary supplement is a manufactured product intended to supplement one's diet by taking a pill, capsule, tablet, powder or liquid. A supplement can provide nutrients either extracted from food sources or that are synthetic in order to increase the quantity of their consumption. The class of nutrient compounds includes vitamins, minerals, fiber, fatty acids and amino acids. Dietary supplements can also contain substances that have not been confirmed as being essential to life, but are marketed as having a beneficial biological effect, such as plant pigments or polyphenols. Animals can also be a source of supplement ingredients, such as collagen from chickens or fish for example. These are also sold individually and in combination, and may be combined with nutrient ingredients. In the United States and Canada, dietary supplements are considered a subset of foods, and are regulated accordingly. The European Commission has also established harmonized rules to help insure that food supplements are safe and properly labeled.
","The examples and perspective in this article may not represent a worldwide view of the subject. You may improve this article, discuss the issue on the talk page, or create a new article, as appropriate. (April 2020) (Learn how and when to remove this template message)",49,"Whoisjohngalt, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Ear candling,"Ear candling, also called ear coning or thermal-auricular therapy, is a pseudoscientific alternative medicine practice claiming to improve general health and well-being by lighting one end of a hollow candle and placing the other end in the ear canal. Medical research has shown that the practice is both dangerous and ineffective and does not functionally remove earwax or toxicants, despite product design contributing to that impression.
",https://en.wikipedia.org/wiki/Ear_candling,50,"Bjørn Bulthuis from Langley, BC, Canada, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons",,,,,,,,,,
Ground (electricity),"In electrical engineering, ground or earth is the reference point in an electrical circuit from which voltages are measured, a common return path for electric current, or a direct physical connection to the earth.
",https://en.wikipedia.org/wiki/Earthing,51,"Giacomo Alessandroni, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
